league_id,name,country,sport,season,slug,raw.league_key,raw.league_name,raw.country_key,raw.country_name,raw.league_logo,raw.country_logo
120,Primera A,Colombia,,,,120,Primera A,34,Colombia,https://apiv2.allsportsapi.com/logo/logo_leagues/120_primera-a.png,https://apiv2.allsportsapi.com/logo/logo_country/34_colombia.png
202,Ligat Ha'al,Israel,,,,202,Ligat Ha'al,62,Israel,https://apiv2.allsportsapi.com/logo/logo_leagues/202_ligat-ha'al.png,https://apiv2.allsportsapi.com/logo/logo_country/62_israel.png
209,J1 League,Japan,,,,209,J1 League,64,Japan,https://apiv2.allsportsapi.com/logo/logo_leagues/209_j1-league.png,https://apiv2.allsportsapi.com/logo/logo_country/64_japan.png
253,Eliteserien,Norway,,,,253,Eliteserien,87,Norway,https://apiv2.allsportsapi.com/logo/logo_leagues/253_eliteserien.png,https://apiv2.allsportsapi.com/logo/logo_country/87_norway.png
111,First League,Bulgaria,,,,111,First League,28,Bulgaria,https://apiv2.allsportsapi.com/logo/logo_leagues/111_first-league.png,https://apiv2.allsportsapi.com/logo/logo_country/28_bulgaria.png
272,Liga I,Romania,,,,272,Liga I,94,Romania,https://apiv2.allsportsapi.com/logo/logo_leagues/272_liga-i.png,https://apiv2.allsportsapi.com/logo/logo_country/94_romania.png
269,Stars League,Qatar,,,,269,Stars League,93,Qatar,,https://apiv2.allsportsapi.com/logo/logo_country/93_qatar.png
171,2. Bundesliga,Germany,,,,171,2. Bundesliga,4,Germany,https://apiv2.allsportsapi.com/logo/logo_leagues/171_2.-bundesliga.png,https://apiv2.allsportsapi.com/logo/logo_country/4_germany.png
293,1. liga,Slovakia,,,,293,1. liga,101,Slovakia,https://apiv2.allsportsapi.com/logo/logo_leagues/293_super-liga.png,https://apiv2.allsportsapi.com/logo/logo_country/101_slovakia.png
255,Division Profesional,Paraguay,,,,255,Division Profesional,89,Paraguay,https://apiv2.allsportsapi.com/logo/logo_leagues/255_division-profesional.png,https://apiv2.allsportsapi.com/logo/logo_country/89_paraguay.png
164,Ligue 2,France,,,,164,Ligue 2,3,France,https://apiv2.allsportsapi.com/logo/logo_leagues/164_ligue-2.png,https://apiv2.allsportsapi.com/logo/logo_country/3_france.png
301,Segunda División,Spain,,,,301,Segunda División,6,Spain,https://apiv2.allsportsapi.com/logo/logo_leagues/301_segunda-división.png,https://apiv2.allsportsapi.com/logo/logo_country/6_spain.png
191,NB I,Hungary,,,,191,NB I,56,Hungary,https://apiv2.allsportsapi.com/logo/logo_leagues/191_nb-i.png,https://apiv2.allsportsapi.com/logo/logo_country/56_hungary.png
57,Premyer Liqa,Azerbaijan,,,,57,Premyer Liqa,19,Azerbaijan,,https://apiv2.allsportsapi.com/logo/logo_country/19_azerbaijan.png
206,Serie B,Italy,,,,206,Serie B,5,Italy,https://apiv2.allsportsapi.com/logo/logo_leagues/206_serie-b.png,https://apiv2.allsportsapi.com/logo/logo_country/5_italy.png
